time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837012.19945908,0.03353107,0.00489090,0.00000467,70933.00000000,0.03181303,0.000000,0.000000
1577837012.29930115,0.03354144,0.00475184,0.00000456,70973.00000000,0.03690172,0.000000,0.000000
1577837012.39995193,0.03351504,0.00339174,0.00000350,71031.00000000,0.02493499,0.000000,0.000000
1577837012.49979281,0.03348560,0.00379095,0.00000363,71114.00000000,0.02388757,0.000000,0.000000
1577837012.59964013,0.03352722,0.00428439,0.00000548,71166.00000000,0.04713783,0.000000,0.000000
1577837012.69948912,0.03351755,0.00297834,0.00000396,71221.00000000,0.03034544,0.000000,0.000000
1577837012.79933310,0.03348371,0.00296074,0.00000357,71287.00000000,0.02235188,0.000000,0.000000
1577837012.89997697,0.03346906,0.00387295,0.00000380,71269.00000000,0.02863298,0.000000,0.000000
1577837012.99980998,0.03344193,0.00289041,0.00000411,71281.00000000,0.02446223,0.000000,0.000000
1577837013.09965992,0.03345756,0.00327810,0.00000683,71285.00000000,0.03864721,0.000000,0.000000
1577837013.19948912,0.03344852,0.00290571,0.00000505,71305.00000000,0.03043665,0.000000,0.000000
1577837013.29934216,0.03342492,0.00292100,0.00000430,71328.00000000,0.02554499,0.000000,0.000000
1577837013.39998102,0.03337661,0.00201711,0.00000348,71346.00000000,0.01719251,0.000000,0.000000
1577837013.49982691,0.03333587,0.00242359,0.00000391,71358.00000000,0.01964599,0.000000,0.000000
1577837013.59966421,0.03328626,0.00297723,0.00000323,71329.00000000,0.01656729,0.000000,0.000000
1577837013.69951892,0.03324109,0.00168668,0.00000329,71251.00000000,0.01797530,0.000000,0.000000
1577837013.79937577,0.03319433,0.00153848,0.00000385,71255.00000000,0.01733974,0.000000,0.000000
1577837013.89960599,0.03314947,0.00224710,0.00000361,71263.00000000,0.01789757,0.000000,0.000000
1577837013.99944806,0.03310878,0.00200502,0.00000398,71272.00000000,0.01923386,0.000000,0.000000
1577837014.09929609,0.03306324,0.00206062,0.00000381,71273.00000000,0.01749067,0.000000,0.000000
1577837014.19994283,0.03304652,0.00235011,0.00000578,71271.00000000,0.02731087,0.000000,0.000000
1577837014.29977012,0.03300393,0.00257885,0.00000381,71288.00000000,0.01835105,0.000000,0.000000
1577837014.39961290,0.03295951,0.00258311,0.00000365,71279.00000000,0.01763545,0.000000,0.000000
1577837014.49947500,0.03291783,0.00244203,0.00000403,71318.00000000,0.01849625,0.000000,0.000000
1577837014.59930491,0.03287810,0.00277294,0.00000355,71326.00000000,0.01909159,0.000000,0.000000
1577837014.69992590,0.03283735,0.00244161,0.00000386,71347.00000000,0.01865584,0.000000,0.000000
1577837014.79977393,0.03279153,0.00225813,0.00000404,71308.00000000,0.01680126,0.000000,0.000000
1577837014.89961600,0.03280868,0.00239733,0.00000509,71339.00000000,0.03881140,0.000000,0.000000
1577837014.99945498,0.03284716,0.00162466,0.00000363,71293.00000000,0.04635371,0.000000,0.000000
1577837015.09928799,0.03279740,0.00208339,0.00000332,71304.00000000,0.01528310,0.000000,0.000000
1577837015.19993019,0.03280705,0.00233042,0.00000544,71295.00000000,0.03621146,0.000000,0.000000
1577837015.29976392,0.03276761,0.00255538,0.00000375,71319.00000000,0.01880859,0.000000,0.000000
1577837015.39960289,0.03277595,0.00343602,0.00000527,71294.00000000,0.03573563,0.000000,0.000000
1577837015.49943709,0.03275054,0.00230199,0.00000392,71310.00000000,0.02370416,0.000000,0.000000
1577837015.59928799,0.03270752,0.00184613,0.00000341,71320.00000000,0.01734889,0.000000,0.000000
1577837015.69991398,0.03266264,0.00197499,0.00000332,71297.00000000,0.01659592,0.000000,0.000000
1577837015.79975080,0.03268953,0.00258757,0.00000607,71318.00000000,0.04234303,0.000000,0.000000
1577837015.89959598,0.03266534,0.00261614,0.00000453,71332.00000000,0.02395538,0.000000,0.000000
1577837015.99944091,0.03263691,0.00249650,0.00000380,71352.00000000,0.02237661,0.000000,0.000000
1577837016.09927988,0.03259532,0.00283663,0.00000333,71371.00000000,0.01753802,0.000000,0.000000
1577837016.19993591,0.03255658,0.00270924,0.00000366,71388.00000000,0.01849514,0.000000,0.000000
1577837016.29977179,0.03253516,0.00261384,0.00000504,71370.00000000,0.02473622,0.000000,0.000000
1577837016.39961100,0.03251240,0.00255929,0.00000373,71375.00000000,0.02420681,0.000000,0.000000
1577837016.49944592,0.03247780,0.00264820,0.00000375,71379.00000000,0.01981298,0.000000,0.000000
1577837016.59928608,0.03245248,0.00186115,0.00000394,71392.00000000,0.02316065,0.000000,0.000000
1577837016.69992709,0.03242874,0.00211063,0.00000384,71405.00000000,0.02369341,0.000000,0.000000
1577837016.79977179,0.03240259,0.00266985,0.00000397,71412.00000000,0.02275047,0.000000,0.000000
1577837016.89961505,0.03238167,0.00262180,0.00000420,71402.00000000,0.02464179,0.000000,0.000000
1577837016.99945712,0.03234957,0.00301145,0.00000348,71416.00000000,0.02044058,0.000000,0.000000
1577837017.09928703,0.03231743,0.00223222,0.00000386,71429.00000000,0.02036138,0.000000,0.000000
1577837017.19993496,0.03236476,0.00574017,0.00000606,71446.00000000,0.05002118,0.000000,0.000000
1577837017.29978800,0.03233786,0.00277503,0.00000401,71454.00000000,0.02227764,0.000000,0.000000
1577837017.39962697,0.03231016,0.00289705,0.00000379,71471.00000000,0.02192047,0.000000,0.000000
1577837017.49947381,0.03232545,0.00271141,0.00000468,71473.00000000,0.03807450,0.000000,0.000000
1577837017.59932590,0.03229336,0.00199685,0.00000375,71495.00000000,0.02019719,0.000000,0.000000
1577837017.69995904,0.03225975,0.00210287,0.00000326,71512.00000000,0.01955226,0.000000,0.000000
1577837017.79980493,0.03222747,0.00240983,0.00000354,71510.00000000,0.01999401,0.000000,0.000000
1577837017.89964604,0.03219493,0.00256669,0.00000350,71520.00000000,0.01983156,0.000000,0.000000
1577837017.99949002,0.03215847,0.00206118,0.00000325,71524.00000000,0.01826584,0.000000,0.000000
1577837018.09932280,0.03216036,0.00279570,0.00000509,71529.00000000,0.03288175,0.000000,0.000000
1577837018.19994712,0.03216042,0.00284362,0.00000375,71533.00000000,0.03218382,0.000000,0.000000
1577837018.29980016,0.03213019,0.00213486,0.00000365,71526.00000000,0.02052328,0.000000,0.000000
1577837018.39965200,0.03210544,0.00284299,0.00000401,71533.00000000,0.02257474,0.000000,0.000000
1577837018.49949384,0.03207051,0.00217376,0.00000342,71547.00000000,0.01858928,0.000000,0.000000
1577837018.59934902,0.03205519,0.00310133,0.00000405,71555.00000000,0.02612747,0.000000,0.000000
1577837018.69998097,0.03202315,0.00230828,0.00000365,71583.00000000,0.01958858,0.000000,0.000000
1577837018.79979897,0.03199636,0.00282734,0.00000402,71574.00000000,0.02157559,0.000000,0.000000
1577837018.89965105,0.03196343,0.00245669,0.00000352,71540.00000000,0.01912287,0.000000,0.000000
1577837018.99950004,0.03197180,0.00234285,0.00000561,71521.00000000,0.03524387,0.000000,0.000000
1577837019.09935212,0.03194752,0.00337162,0.00000360,71551.00000000,0.02243003,0.000000,0.000000
1577837019.19999218,0.03191799,0.00241451,0.00000364,71576.00000000,0.02031221,0.000000,0.000000
1577837019.29982114,0.03189366,0.00310881,0.00000391,71582.00000000,0.02230858,0.000000,0.000000
1577837019.39966321,0.03186393,0.00248693,0.00000364,71606.00000000,0.02011952,0.000000,0.000000
1577837019.49949908,0.03183793,0.00313653,0.00000370,71626.00000000,0.02154192,0.000000,0.000000
1577837019.59935308,0.03182376,0.00335681,0.00000433,71622.00000000,0.02619780,0.000000,0.000000
